date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:20	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac5/img/icon/dayanzai_${tanlu[0][0]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac5/img/icon/dayanzai_${tanlu[0][0]}.svg	(from http://tb.lva-online.vip/bac5/tb1.html)
14:08:20	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac5/img/icon/xiaolu_${tanlu[0][1]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac5/img/icon/xiaolu_${tanlu[0][1]}.svg	(from http://tb.lva-online.vip/bac5/tb1.html)
14:08:20	28831/28831	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269bc55d1-709f%22	http://tb.lva-online.vip/bac5/js/grid.js	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac5/js/grid.js	(from http://tb.lva-online.vip/bac5/tb1.html)
14:08:21	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac5/img/icon/xiaoqiang_${tanlu[0][2]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac5/img/icon/xiaoqiang_${tanlu[0][2]}.svg	(from http://tb.lva-online.vip/bac5/tb1.html)
14:08:21	138012/138012	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269bc55d1-21b1c%22	http://tb.lva-online.vip/bac5/js/jsmpeg.min.js	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac5/js/jsmpeg.min.js	(from http://tb.lva-online.vip/bac5/tb1.html)
14:08:21	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac5/img/icon/dayanzai_${tanlu[1][0]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac5/img/icon/dayanzai_${tanlu[1][0]}.svg	(from http://tb.lva-online.vip/bac5/tb1.html)
14:08:21	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac5/img/icon/xiaolu_${tanlu[1][1]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac5/img/icon/xiaolu_${tanlu[1][1]}.svg	(from http://tb.lva-online.vip/bac5/tb1.html)
14:08:22	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac5/img/icon/xiaoqiang_${tanlu[1][2]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac5/img/icon/xiaoqiang_${tanlu[1][2]}.svg	(from http://tb.lva-online.vip/bac5/tb1.html)
14:08:22	1335/1335	---MCZ	200	added ('OK')	text/css	etag:W/%2269bc55d1-537%22	http://tb.lva-online.vip/bac6/css/grid.css	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac6/css/grid.css	(from http://tb.lva-online.vip/bac6/tb1.html)
14:08:23	405/405	---M--	200	added ('OK')	image/svg+xml	etag:%2269bc55d1-195%22	http://tb.lva-online.vip/bac6/img/icon/red/b.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac6/img/icon/red/b.svg	(from http://tb.lva-online.vip/bac6/tb1.html)
